year,stations_per_10k_elderly,stations_per_10k_young,stations_per_10k_hdb,stations_per_10k_private,total_open_stations
2000,2.781,0.493,0.239,1.544,61
2001,2.769,0.515,0.246,1.468,63
2002,2.738,0.53,0.249,1.419,64
2003,3.601,0.714,0.326,1.842,83
2004,3.394,0.73,0.325,1.76,83
2005,3.642,0.835,0.365,1.898,94
2006,3.498,0.848,0.366,1.836,95
2007,3.45,0.866,0.369,1.827,97
2008,3.34,0.864,0.362,1.834,97
2009,3.361,0.887,0.372,1.875,102
2010,3.575,0.971,0.402,1.982,111
2011,3.485,0.967,0.395,1.953,123
2012,3.272,0.987,0.396,1.931,124
2013,3.116,1.011,0.401,1.916,126
2014,3.012,1.043,0.413,1.918,130
2015,3.045,1.12,0.443,1.991,140
2016,2.892,1.123,0.446,1.92,141
2017,3.038,1.248,0.497,2.028,157
2018,2.866,1.245,0.498,1.939,157
2019,2.715,1.249,0.501,1.89,158
2020,2.602,1.264,0.508,1.868,160
