year,subzone_id,planning_area,subzone_name,region,pop_total,pop_hdb,pop_private,hdb_proportion,dist_to_mrt_m,within_1km,nearest_station_name
2000,AMSZ01,Ang Mo Kio,Ang Mo Kio Town Centre,North-East Region,2240.0,2150,0,1.0,554.49,True,Ang Mo Kio
2000,AMSZ02,Ang Mo Kio,Cheng San,North-East Region,32030.0,31820,0,1.0,524.98,True,Ang Mo Kio
2000,AMSZ03,Ang Mo Kio,Chong Boon,North-East Region,32940.0,32650,0,1.0,807.99,True,Ang Mo Kio
2000,AMSZ04,Ang Mo Kio,Townsville,North-East Region,21620.0,21530,0,1.0,518.1,True,Ang Mo Kio
2000,AMSZ05,Ang Mo Kio,Shangri-La,North-East Region,21800.0,21350,310,0.9856879039704525,1369.97,False,Ang Mo Kio
2000,AMSZ06,Ang Mo Kio,Kebun Bahru,North-East Region,26810.0,25160,1360,0.9487179487179487,1083.55,False,Yio Chu Kang
2000,AMSZ07,Ang Mo Kio,Sembawang Hills,North-East Region,6070.0,0,5930,0.0,1745.67,False,Yio Chu Kang
2000,AMSZ08,Ang Mo Kio,Tagore,North-East Region,,,,,1915.98,False,Yio Chu Kang
2000,AMSZ09,Ang Mo Kio,Yio Chu Kang West,North-East Region,,,,,530.58,True,Yio Chu Kang
2000,AMSZ10,Ang Mo Kio,Yio Chu Kang,North-East Region,29910.0,21840,7970,0.732640053673264,454.33,True,Yio Chu Kang
2000,AMSZ11,Ang Mo Kio,Yio Chu Kang North,North-East Region,,,,,1340.57,False,Yio Chu Kang
2000,AMSZ12,Ang Mo Kio,Yio Chu Kang East,North-East Region,,,,,974.53,True,Yio Chu Kang
2000,BDSZ01,Bedok,Kaki Bukit,East Region,43480.0,42220,1110,0.9743826448188322,1651.38,False,Kembangan
2000,BDSZ02,Bedok,Bedok Reservoir,East Region,20040.0,17670,0,1.0,1823.32,False,Bedok
2000,BDSZ03,Bedok,Kembangan,East Region,37270.0,25410,11380,0.690676814351726,511.54,True,Kembangan
2000,BDSZ04,Bedok,Bedok North,East Region,87480.0,81770,4640,0.9463025112834162,962.42,True,Bedok
2000,BDSZ05,Bedok,Frankel,East Region,30840.0,230,29720,0.007679465776293823,1082.71,False,Kembangan
2000,BDSZ06,Bedok,Bedok South,East Region,54450.0,38800,15150,0.7191844300278035,679.82,True,Tanah Merah
2000,BDSZ07,Bedok,Siglap,East Region,7370.0,0,5600,0.0,1956.66,False,Bedok
2000,BDSZ08,Bedok,Bayshore,East Region,4040.0,0,4010,0.0,1501.58,False,Tanah Merah
2000,BKSZ01,Bukit Batok,Gombak,West Region,1000.0,0,920,0.0,916.62,True,Teck Whye
2000,BKSZ02,Bukit Batok,Hong Kah North,West Region,,,,,623.36,True,Bukit Gombak
2000,BKSZ03,Bukit Batok,Brickworks,West Region,0.0,0,0,,1099.41,False,Bukit Batok
2000,BKSZ04,Bukit Batok,Guilin,West Region,11160.0,9310,1830,0.8357271095152603,413.07,True,Bukit Gombak
2000,BKSZ05,Bukit Batok,Hillview,West Region,15680.0,5700,9900,0.36538461538461536,1377.6,False,Bukit Gombak
2000,BKSZ06,Bukit Batok,Bukit Batok West,West Region,16180.0,16100,0,1.0,828.53,True,Bukit Batok
2000,BKSZ07,Bukit Batok,Bukit Batok Central,West Region,24350.0,24290,0,1.0,147.35,True,Bukit Batok
2000,BKSZ08,Bukit Batok,Bukit Batok East,West Region,15680.0,15550,0,1.0,890.05,True,Bukit Batok
2000,BKSZ09,Bukit Batok,Bukit Batok South,West Region,13660.0,11830,1800,0.8679383712399119,1298.85,False,Bukit Batok
2000,BLSZ01,Boon Lay,Tukang,West Region,10.0,0,0,,1471.89,False,Boon Lay
2000,BLSZ02,Boon Lay,Liu Fang,West Region,10.0,0,0,,2249.59,False,Boon Lay
2000,BLSZ03,Boon Lay,Samulun,West Region,10.0,0,0,,3374.12,False,Boon Lay
2000,BLSZ04,Boon Lay,Shipyard,West Region,0.0,0,0,,3864.84,False,Boon Lay
2000,BMSZ01,Bukit Merah,Maritime Square,Central Region,650.0,0,520,0.0,2341.68,False,Redhill
2000,BMSZ02,Bukit Merah,Bukit Merah,Central Region,1430.0,1350,0,1.0,866.02,True,Redhill
2000,BMSZ03,Bukit Merah,Redhill,Central Region,11640.0,11490,0,1.0,224.9,True,Redhill
2000,BMSZ04,Bukit Merah,Tiong Bahru Station,Central Region,6190.0,5440,730,0.8816855753646677,243.24,True,Tiong Bahru
2000,BMSZ05,Bukit Merah,Singapore General Hospital,Central Region,90.0,0,0,,526.92,True,Outram Park
2000,BMSZ06,Bukit Merah,Alexandra North,Central Region,90.0,0,0,,488.05,True,Redhill
