"Region, development group, country or area of destination",income_category
Afghanistan,L
Albania,UM
Algeria,UM
American Samoa*,H
Andorra,H
Angola,LM
Anguilla*,None
Antigua and Barbuda,H
Argentina,UM
Armenia,UM
Aruba*,H
Australia*,H
Austria,H
Azerbaijan,UM
Bahamas,H
Bahrain,H
Bangladesh,LM
Barbados,H
Belarus,UM
Belgium,H
Belize,UM
Benin,LM
Bermuda*,H
Bhutan,LM
Bolivia (Plurinational State of),LM
Bosnia and Herzegovina,UM
Botswana,UM
Brazil,UM
British Virgin Islands*,H
Brunei Darussalam,H
Bulgaria,H
Burkina Faso,L
Burundi,L
Cabo Verde,UM
Cambodia,LM
Cameroon,LM
Canada,H
Cayman Islands*,H
Central African Republic,L
Chad,L
Channel Islands*,H
Chile,H
China,UM
"China, Hong Kong SAR",H
"China, Macao SAR",H
"China, Taiwan Province of China",H
Colombia,UM
Comoros,LM
Congo,LM
Cook Islands*,None
Costa Rica,H
Croatia,H
Cuba,UM
Curaçao*,H
Cyprus,H
Czechia,H
Côte d'Ivoire,LM
Dem. People's Republic of Korea,L
Democratic Republic of the Congo,L
Denmark*,H
Djibouti,LM
Dominica,UM
Dominican Republic,UM
Ecuador,UM
Egypt,LM
El Salvador,UM
Equatorial Guinea,UM
Eritrea,L
Estonia,H
Eswatini,LM
Ethiopia,L
Falkland Islands (Malvinas)*,None
Faroe Islands*,H
Fiji,UM
Finland*,H
France*,H
French Guiana*,None
French Polynesia*,H
Gabon,UM
Gambia,L
Georgia,UM
Germany,H
Ghana,LM
Gibraltar*,H
Greece,H
Greenland*,H
Grenada,UM
Guadeloupe*,None
Guam*,H
Guatemala,UM
Guinea,LM
Guinea-Bissau,L
Guyana,H
Haiti,LM
Honduras,LM
Hungary,H
Iceland,H
India,LM
Indonesia,UM
Iran (Islamic Republic of),UM
Iraq,UM
Ireland,H
Isle of Man*,H
Israel,H
Italy,H
Jamaica,UM
Japan,H
Jordan,LM
Kazakhstan,UM
Kenya,LM
Kiribati,LM
Kuwait,H
Kyrgyzstan,LM
Lao People's Democratic Republic,LM
Latvia,H
Lebanon,LM
Lesotho,LM
Liberia,L
Libya,UM
Liechtenstein,H
Lithuania,H
Luxembourg,H
Madagascar,L
Malawi,L
Malaysia,UM
Maldives,UM
Mali,L
Malta,H
Marshall Islands,UM
Martinique*,None
Mauritania,LM
Mauritius,UM
Mayotte,None
Mexico,UM
Micronesia (Fed. States of),LM
Monaco,H
Mongolia,UM
Montenegro,UM
Montserrat*,None
Morocco,LM
Mozambique,L
Myanmar,LM
Namibia,LM
Nauru,H
Nepal,LM
Netherlands*,H
New Caledonia*,H
New Zealand*,H
Nicaragua,LM
Niger,L
Nigeria,LM
Niue*,None
North Macedonia,UM
Northern Mariana Islands*,H
Norway*,H
Oman,H
Pakistan,LM
Palau,H
Panama,H
Papua New Guinea,LM
Paraguay,UM
Peru,UM
Philippines,LM
Poland,H
Portugal,H
Puerto Rico*,H
Qatar,H
Republic of Korea,H
Republic of Moldova*,UM
Romania,H
Russian Federation,H
Rwanda,L
Réunion,None
Saint Helena,None
Saint Kitts and Nevis,H
Saint Lucia,UM
Saint Pierre and Miquelon*,None
Saint Vincent and the Grenadines,UM
Samoa,UM
San Marino,H
Sao Tome and Principe,LM
Saudi Arabia,H
Senegal,LM
Serbia*,UM
Seychelles,H
Sierra Leone,L
Singapore,H
Sint Maarten (Dutch part)*,H
Slovakia,H
Slovenia,H
Solomon Islands,LM
Somalia,L
South Africa,UM
South Sudan,L
Spain*,H
Sri Lanka,LM
State of Palestine,None
Sudan,L
Suriname,UM
Sweden,H
Switzerland,H
Syrian Arab Republic,L
Tajikistan,LM
Thailand,UM
Timor-Leste,LM
Togo,L
Tokelau*,None
Tonga,UM
Trinidad and Tobago,H
Tunisia,LM
Turkmenistan,UM
Turks and Caicos Islands*,H
Tuvalu,UM
Türkiye,UM
Uganda,L
Ukraine*,UM
United Arab Emirates,H
United Kingdom*,H
United Republic of Tanzania,LM
United States Virgin Islands*,H
United States of America*,H
Uruguay,H
Uzbekistan,LM
Vanuatu,LM
Venezuela (Bolivarian Republic of),None
Viet Nam,LM
Wallis and Futuna Islands*,None
Western Sahara,None
Yemen,L
Zambia,LM
Zimbabwe,LM
