Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,both_sexes_1990,both_sexes_1995,both_sexes_2000,both_sexes_2005,both_sexes_2010,both_sexes_2015,both_sexes_2020,both_sexes_2024,males_1990,males_1995,males_2000,males_2005,males_2010,males_2015,males_2020,males_2024,females_1990,females_1995,females_2000,females_2005,females_2010,females_2015,females_2020,females_2024
1,World,,,900,World,900,153916063,163176002,174566152,192788721,221020392,250042020,275284032,304021813,77772082,82543298,88290942,98450665,113256786,130187624,143223497,158009795,76143981,80632704,86275210,94338056,107763606,119854396,132060535,146012018
19,World,,,900,High-income countries,1503,35523301,38139372,38446678,40433979,44410942,46996032,48894061,50882892,16860009,17984708,18175944,19352272,21364555,22756857,23875225,24920932,18663292,20154664,20270734,21081707,23046387,24239175,25018836,25961960
22,World,,,900,Upper-middle-income countries,1502,46231104,51938081,57307181,64222196,72320683,74439438,78523298,83119977,22365789,25336730,28109323,31508626,34844504,35280356,37352241,39692738,23865315,26601351,29197858,32713570,37476179,39159082,41171057,43427239
23,World,,,900,Lower-middle-income countries,1501,40399373,43074164,47390337,54488171,65635432,77230603,84465042,98248121,22168106,23552851,25853135,30183992,37108690,44983932,49022328,55793927,18231267,19521313,21537202,24304179,28526742,32246671,35442714,42454194
24,World,,,900,Low-income countries,1500,18260226,15940023,15073902,15356761,18849423,28710928,35117582,41112765,9800310,8626051,8277763,8649435,10521318,16042288,19471751,22317975,8459916,7313972,6796139,6707326,8328105,12668640,15645831,18794790
4341,High-income countries,,,1503,World,900,76960458,90343963,103962143,121605675,143669847,165526009,181860213,199081732,39117439,45962769,52610835,62177301,73585883,86605196,94894598,104249038,37843019,44381194,51351308,59428374,70083964,78920813,86965615,94832694
4359,High-income countries,,,1503,High-income countries,1503,29567652,32150365,32308682,34282727,37968791,40780833,42594724,44041801,13812570,14943014,15047855,16163717,17981221,19490930,20612746,21409188,15755082,17207351,17260827,18119010,19987570,21289903,21981978,22632613
4362,High-income countries,,,1503,Upper-middle-income countries,1502,20244652,26758424,32971391,39928564,46295577,50405097,54227846,58625993,10222990,13385954,16431981,19816285,22184135,23768769,25452184,27442655,10021662,13372470,16539410,20112279,24111442,26636328,28775662,31183338
4363,High-income countries,,,1503,Lower-middle-income countries,1501,17636748,20669079,24709676,30993196,40569427,51381377,57584774,68541872,10373131,12034461,14190110,18075493,24037239,31292166,34568082,39992823,7263617,8634618,10519566,12917703,16532188,20089211,23016692,28549049
4364,High-income countries,,,1503,Low-income countries,1500,1358770,1663507,2097216,2753546,4207679,6863170,8611054,10106807,831427,1026277,1256571,1655071,2595035,4349673,5360232,6286483,527343,637230,840645,1098475,1612644,2513497,3250822,3820324
